Date : 2025-03-27 23:51:33
Directory : c:\Users\xy\Documents\GitHub\OOP_lab1
Total : 94 files,  6513 codes, 1038 comments, 1954 blanks, all 9505 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         77 |      5,679 |      1,038 |      1,682 |      8,399 |
| Markdown         |          7 |        666 |          0 |        263 |        929 |
| HTML             |          7 |        114 |          0 |          6 |        120 |
| JSON             |          1 |         37 |          0 |          1 |         38 |
| Ini              |          1 |         13 |          0 |          2 |         15 |
| pip requirements |          1 |          4 |          0 |          0 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         94 |      6,513 |      1,038 |      1,954 |      9,505 |
| . (Files)                                                                                |          7 |      1,037 |        109 |        358 |      1,504 |
| docs                                                                                     |          4 |        279 |          0 |        111 |        390 |
| docs (Files)                                                                             |          2 |        142 |          0 |         60 |        202 |
| docs\design                                                                              |          2 |        137 |          0 |         51 |        188 |
| src                                                                                      |         34 |      1,593 |        248 |        459 |      2,300 |
| src (Files)                                                                              |          1 |          3 |          2 |          1 |          6 |
| src\application                                                                          |          2 |         96 |          6 |         22 |        124 |
| src\commands                                                                             |         14 |        772 |        127 |        225 |      1,124 |
| src\commands (Files)                                                                     |          8 |        476 |         80 |        144 |        700 |
| src\commands\edit                                                                        |          6 |        296 |         47 |         81 |        424 |
| src\core                                                                                 |          6 |        296 |         45 |         88 |        429 |
| src\io                                                                                   |          3 |        165 |         35 |         55 |        255 |
| src\spellcheck                                                                           |          6 |        231 |         21 |         61 |        313 |
| src\spellcheck (Files)                                                                   |          4 |        217 |         13 |         57 |        287 |
| src\spellcheck\adapters                                                                  |          2 |         14 |          8 |          4 |         26 |
| src\utils                                                                                |          2 |         30 |         12 |          7 |         49 |
| tests                                                                                    |         49 |      3,604 |        681 |      1,026 |      5,311 |
| tests (Files)                                                                            |          6 |        644 |         91 |        164 |        899 |
| tests\application                                                                        |          2 |          0 |          0 |          2 |          2 |
| tests\commands                                                                           |         14 |        877 |        182 |        279 |      1,338 |
| tests\commands (Files)                                                                   |          1 |          0 |          0 |          1 |          1 |
| tests\commands\display                                                                   |          2 |        240 |         35 |         66 |        341 |
| tests\commands\edit                                                                      |          8 |        637 |        147 |        209 |        993 |
| tests\commands\file                                                                      |          1 |          0 |          0 |          1 |          1 |
| tests\commands\io                                                                        |          2 |          0 |          0 |          2 |          2 |
| tests\input                                                                              |         10 |        186 |          0 |         15 |        201 |
| tests\integration                                                                        |          7 |        773 |        188 |        253 |      1,214 |
| tests\io                                                                                 |          8 |        796 |        154 |        204 |      1,154 |
| tests\spellcheck                                                                         |          1 |        214 |         38 |         74 |        326 |
| tests\stress                                                                             |          1 |        114 |         28 |         35 |        177 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
